customer;state;customer lifetime value;gender;income;monthly premium auto;policy type;total claim amount;vehicle class
PY51963;California;3347334.95;;33190;106;Corporate Auto;508.8;SUV
RB69909;Nevada;798343.17;;36014;69;Special Auto;173.956072;Four-Door Car
NW21079;Washington;487938.48;F;67163;61;Personal Auto;33.192803;Two-Door Car
FR46645;California;429399.73;;16701;113;Personal Auto;831.625979;Four-Door Car
SY17488;Arizona;716439.55;;46623;91;Corporate Auto;436.8;Four-Door Car
AP67935;California;761951.58;;64749;64;Special Auto;302.56519;Four-Door Car
ML29312;Oregon;449949.33;;16969;124;Personal Auto;704.768111;SUV
UB61619;Oregon;405956.74;;11621;108;Personal Auto;518.4;Four-Door Car
CD86811;Arizona;445811.34;;17622;65;Personal Auto;312;Four-Door Car
RU83859;California;811033.31;;11489;105;Personal Auto;504;Two-Door Car
NN71951;California;2426101.78;;66525;100;Personal Auto;104.331355;SUV
SM52139;WA;293069.35;;33663;73;Personal Auto;350.4;Four-Door Car
FL82372;Oregon;867219.43;;22547;112;Corporate Auto;537.6;SUV
DP45816;AZ;1163866.93;;61486;97;Personal Auto;465.258644;Two-Door Car
RZ33670;California;1172777.65;;29879;102;Personal Auto;500.254235;Four-Door Car
PY70169;Oregon;2264383.48;;93011;113;Personal Auto;281.451042;SUV
MO91628;Oregon;261447.43;;65186;65;Personal Auto;5.434505;Two-Door Car
HW87852;Oregon;245175.27;;26840;64;Personal Auto;307.2;Four-Door Car
BN87372;Oregon;497480.15;;75644;65;Personal Auto;467.803638;Two-Door Car
YX23800;Oregon;859160.49;;38984;73;Personal Auto;350.4;Four-Door Car
DZ87709;Oregon;559216.14;;71811;71;Personal Auto;29.03416;Four-Door Car
XW13033;Nevada;800947.28;;20961;67;Personal Auto;321.6;Four-Door Car
SP81997;Washington;na;F;41275;96;Personal Auto;41.122303;Four-Door Car
OM82309;California;5816655.35;;61321;186;Personal Auto;427.63121;Luxury Car
VH85817;California;578018.22;;51066;74;Personal Auto;787.993313;Four-Door Car
DT85712;California;411853.91;;34378;102;Personal Auto;489.6;SUV
YJ88573;Nevada;252307.02;;43072;63;Personal Auto;302.4;Four-Door Car
SQ19467;Oregon;655421.64;;25222;90;Personal Auto;475.623251;Four-Door Car
YB66933;Washington;538275.2;F;77552;68;Corporate Auto;45.215059;Four-Door Car
ET79815;California;592672.94;;23091;96;Personal Auto;460.8;Four-Door Car
QC35222;California;268347.07;;48269;69;Corporate Auto;282.151207;Four-Door Car
CJ15590;Oregon;269518.24;;32720;67;Personal Auto;321.6;Four-Door Car
OI48267;California;604702.52;;20396;76;Personal Auto;364.8;Four-Door Car
JY67916;Oregon;1317101.28;;21513;119;Personal Auto;679.827592;Two-Door Car
CZ33664;Oregon;252765.38;;80744;63;Corporate Auto;11.879037;Four-Door Car
WK30175;Oregon;267209.58;;52822;67;Corporate Auto;350.529033;Two-Door Car
TV87155;Oregon;2094619.25;;69738;74;Personal Auto;492.127532;Four-Door Car
KH48895;AZ;837535.39;;17780;109;Personal Auto;132.588288;SUV
NZ30757;California;480166.15;;18107;62;Personal Auto;297.6;Four-Door Car
RI22468;AZ;574594.33;;57740;74;Personal Auto;269.905129;Four-Door Car
FZ30935;Oregon;606611.6;;32627;76;Personal Auto;380.036697;Two-Door Car
XK64261;Oregon;476281.79;;65795;62;Corporate Auto;49.011099;Two-Door Car
EV68375;California;433038.6;;60475;107;Personal Auto;513.6;Four-Door Car
TO96662;Oregon;696669.45;;41837;88;Personal Auto;142.062768;Four-Door Car
MR52087;California;769406.43;;32303;65;Personal Auto;45.152521;Four-Door Car
EP80820;California;592874.85;;40531;74;Personal Auto;30.567357;Two-Door Car
GU99037;Oregon;245297.73;;79898;62;Corporate Auto;271.606799;Four-Door Car
WI57118;California;670157.17;;56398;85;Personal Auto;408;Four-Door Car
GP39118;Washington;499655.27;M;71600;63;Personal Auto;46.158117;Two-Door Car
MQ14219;AZ;849269.88;;27804;109;Personal Auto;784.8;SUV
KN20603;Oregon;771349.4;;45506;66;Personal Auto;316.8;Four-Door Car
SG20925;Washington;518579.76;F;99428;6464;Personal Auto;48.046869;Four-Door Car
VF72557;Oregon;477294.38;;20993;133;Personal Auto;638.4;SUV
OX28638;AZ;680649.14;;37839;86;Personal Auto;465.633954;Two-Door Car
SK55033;California;246978.13;;92711;62;Personal Auto;368.400146;Two-Door Car
OO88645;California;310392.3;;74665;78;Corporate Auto;236.902001;Four-Door Car
FM14335;Washington;1048491.54;F;61108;89;Personal Auto;49.451117;Four-Door Car
CW82151;California;890273.76;;46833;112;Personal Auto;64.109663;Sports Car
DY22043;Oregon;549944.72;;88768;68;Personal Auto;326.4;Two-Door Car
SH36774;California;1502359.86;;28262;192;Personal Auto;921.6;Luxury SUV
EM43724;Nevada;250910.79;;33555;63;Personal Auto;101.89645;Four-Door Car
FH85960;Oregon;3122174.81;;42780;113;Personal Auto;542.4;Four-Door Car
XA55993;Oregon;313350.34;;58850;78;Personal Auto;143.747794;Four-Door Car
GO36627;AZ;383745.19;;21880;97;Special Auto;424.077159;Four-Door Car
QH48047;Oregon;1179049.62;;25251;66;Personal Auto;316.8;Four-Door Car
HS28694;Washington;282986.39;F;25317;71;Personal Auto;50.422181;Two-Door Car
UH65059;AZ;430580.83;;24188;109;Personal Auto;523.2;Sports Car
FV21968;Nevada;597397.69;;41611;74;Special Auto;113.801497;Four-Door Car
QA87025;Oregon;567044.24;;28406;72;Personal Auto;192.87572;Four-Door Car
TQ13499;AZ;473174.93;;69833;118;Personal Auto;828.662719;Four-Door Car
PU25891;Oregon;961831.09;;80536;119;Special Auto;53.798708;Sports Car
LH92841;Washington;725595.38;F;88891;89;Personal Auto;50.528355;Four-Door Car
SX26335;Oregon;955292.69;;97732;79;Personal Auto;289.9122;Four-Door Car
AZ95587;AZ;1038855.32;F;61222;89;Special Auto;392.604371;Four-Door Car
OJ94107;AZ;561906.85;M;50335;140;Personal Auto;456.52385;SUV
FF22360;Washington;268731.41;F;82210;68;Personal Auto;51.961915;Four-Door Car
ZU18643;Nevada;366077.03;M;64495;92;Corporate Auto;251.992083;Four-Door Car
XC67861;Arizona;501175.16;F;28859;67;Corporate Auto;321.6;Two-Door Car
YC43143;Arizona;798825.83;F;77330;99;Personal Auto;99.257608;Four-Door Car
PA38372;Washington;935773.78;F;33060;117;Personal Auto;56.731578;Four-Door Car
RO18530;Washington;254068.98;M;42557;65;Personal Auto;57.562324;Four-Door Car
PD27940;Arizona;488516.25;M;26372;126;Personal Auto;604.8;SUV
BS77946;Arizona;975330.71;F;17514;127;Personal Auto;8.312729;SUV
YM50253;California;294615.37;Femal;89270;74;Personal Auto;316.599228;Four-Door Car
NR15332;California;258111.09;M;29757;65;Personal Auto;312;Four-Door Car
RC62865;Oregon;351738.58;M;51814;92;Personal Auto;56.300724;Four-Door Car
CC15295;Oregon;974335.01;F;24028;82;Personal Auto;393.6;Four-Door Car
KA61892;Arizona;387364.7;M;28142;105;Personal Auto;701.708239;Sports Car
OS94884;Arizona;764928.2;F;52705;64;Personal Auto;128.705563;Two-Door Car
OY51402;Washington;825576.39;F;54040;103;Personal Auto;59.987126;SUV
GK92563;Washington;681923.12;F;22492;85;Personal Auto;61.654262;Two-Door Car
RI78966;Oregon;777115.9;M;21876;68;Personal Auto;465.41477;Four-Door Car
HT87217;Oregon;1977656.65;F;70699;82;Personal Auto;256.813837;Four-Door Car
TS19868;California;241313.97;M;27501;63;Personal Auto;542.319401;Four-Door Car
LP45550;Oregon;1536384.72;F;15897;101;Personal Auto;303.148399;Four-Door Car
QR87004;Nevada;845696.19;F;25141;73;Personal Auto;25.438063;Four-Door Car
DX91392;California;578018.22;M;51066;74;Personal Auto;787.993313;Four-Door Car
AB72731;California;463998.16;F;28358;117;Personal Auto;84.024413;Sports Car
GX84338;Washington;382443.13;F;62530;95;Personal Auto;61.693771;Four-Door Car
IS12901;Arizona;596811.89;F;90972;74;Personal Auto;232.926145;Two-Door Car
BN90616;Washington;859033.5;F;63110;72;Personal Auto;68.179721;Four-Door Car
HH90090;California;407663.47;F;29549;104;Personal Auto;710.433775;Sports Car
KC11055;Nevada;1693627.15;F;39411;217;Personal Auto;1122.658899;Luxury Car
PD33979;Oregon;489243.55;M;21709;62;Personal Auto;408.374746;Four-Door Car
NK71023;Nevada;994230.48;M;67890;85;Personal Auto;408;Four-Door Car
OZ97704;California;1311752.22;F;84311;111;Personal Auto;532.8;SUV
UF46533;California;457452.41;F;99316;114;Corporate Auto;754.358929;SUV
XP47431;Arizona;547006.06;F;54507;138;Personal Auto;702.990032;SUV
GK73582;California;297884.6;F;64586;76;Personal Auto;206.837111;Four-Door Car
RV98763;Oregon;641096.75;M;61709;82;Personal Auto;275.395894;Four-Door Car
II62831;California;447902.31;M;94656;111;Special Auto;459.738128;SUV
TR85083;California;276449.37;M;61085;70;Personal Auto;336;Two-Door Car
EO95328;Oregon;792010.54;F;89284;67;Personal Auto;321.6;Two-Door Car
YL83902;WA;327419.46;F;31686;81;Personal Auto;430.994107;Four-Door Car
AZ62651;Oregon;995170.77;M;56855;255;Corporate Auto;1836;Luxury SUV
ZW25874;Oregon;252155.57;M;53703;67;Special Auto;67.632476;Four-Door Car
MW70227;California;604702.52;M;20396;76;Personal Auto;364.8;Four-Door Car
SL22297;California;1114030.25;F;27679;150;Personal Auto;722.486994;SUV
RV14138;Nevada;433406.41;F;23904;123;Personal Auto;590.4;SUV
UO62808;Arizona;279974.79;F;65351;69;Corporate Auto;481.027516;Four-Door Car
XX12304;California;292497.67;F;64459;72;Personal Auto;240.259479;Four-Door Car
SD64087;California;1501409.27;M;32961;190;Corporate Auto;912;SUV
OY38576;Oregon;927723.38;F;71416;116;Corporate Auto;556.8;SUV
BG76355;WA;627412.39;F;68964;78;Personal Auto;115.086827;Four-Door Car
IP66913;Cali;388664.74;M;78108;98;Personal Auto;470.4;Two-Door Car
LE95702;Cali;438627.76;M;10621;67;Special Auto;321.6;Four-Door Car
KX54357;WA;1136526.77;M;84910;95;Corporate Auto;383.167471;Two-Door Car
EZ78112;Cali;561096.43;Femal;77493;70;Special Auto;307.963291;Four-Door Car
XN16891;Arizona;291289.2;M;81097;74;Personal Auto;355.2;Four-Door Car
XK31350;Oregon;691572.99;Femal;96610;85;Corporate Auto;520.364752;Four-Door Car
CC30924;Oregon;626266.33;M;30110;159;Corporate Auto;466.436375;Sports Car
IT78748;Oregon;650339.7;Femal;22081;84;Special Auto;451.670309;Two-Door Car
CO44221;Cali;292991.65;M;98473;72;Personal Auto;345.6;Four-Door Car
LK60013;Oregon;596955.3;Femal;97431;74;Personal Auto;355.2;Four-Door Car
DE21533;Cali;547315.99;M;93870;69;Personal Auto;331.2;Four-Door Car
YS94121;Nevada;564539.67;M;50366;72;Personal Auto;428.734656;Four-Door Car
UK68427;WA;636926.24;M;34498;83;Personal Auto;398.4;Two-Door Car
TE49565;Oregon;1183376.73;Femal;16552;103;Personal Auto;494.4;SUV
RA88421;Oregon;612110.79;Femal;26787;77;Personal Auto;369.6;Four-Door Car
CD88896;Nevada;251459.2;Femal;43860;65;Corporate Auto;156.124914;Four-Door Car
YV22553;Arizona;866861.13;M;21474;114;Corporate Auto;373.428187;SUV
WU14435;Cali;496096.54;M;18174;66;Corporate Auto;395.934815;Four-Door Car
RI24911;Arizona;750745.54;Male;60920;64;Personal Auto;231.201886;Two-Door Car
KO26461;Arizona;3226985.14;Male;41520;90;Personal Auto;289.904105;Four-Door Car
BH36570;Cali;591278.38;Male;72208;73;Personal Auto;350.4;Two-Door Car
TX17484;Cali;1518227.98;Femal;53863;63;Personal Auto;105.765111;Four-Door Car
CT41158;WA;1074703.09;Male;66446;136;Corporate Auto;639.464548;SUV
DE55857;WA;246544.49;Femal;64997;63;Personal Auto;383.442328;Four-Door Car
LF66923;Nevada;534312.13;Femal;64460;66;Corporate Auto;316.8;Two-Door Car
CN24514;Arizona;811982.91;Femal;46618;67;Personal Auto;99.085943;Four-Door Car
HP36979;Cali;640878.56;Male;49988;84;Personal Auto;566.935022;Two-Door Car
RO73268;Cali;321107;M;16269;86;Corporate Auto;412.8;Two-Door Car
HO61691;Arizona;509452.23;F;72006;64;Personal Auto;307.2;Four-Door Car
HR10526;Cali;804473.07;M;44320;67;Personal Auto;321.6;Four-Door Car
IA63417;Arizona;400151.91;F;19782;108;Personal Auto;773.470977;Two-Door Car
BH35016;Nevada;1670611.7;F;63933;70;Personal Auto;424.883448;Two-Door Car
PK52952;Arizona;854441.11;M;28224;109;Personal Auto;523.2;SUV
OD76309;WA;780531.29;F;21073;106;Personal Auto;508.8;SUV
IL28481;Oregon;611275.69;M;63243;77;Personal Auto;364.240307;Four-Door Car
GY55092;Nevada;477294.38;M;20993;133;Personal Auto;638.4;SUV
UF33451;Oregon;1097909.56;F;94827;135;Personal Auto;354.729129;SUV
CF15558;Cali;500426.38;F;39161;63;Personal Auto;283.995953;Two-Door Car
JM62924;WA;1322304.38;M;37534;84;Personal Auto;403.2;Four-Door Car
EM66435;Oregon;262331.54;F;80210;65;Corporate Auto;20.543176;Four-Door Car
JI71369;Cali;510611.18;F;30110;64;Personal Auto;140.165035;Four-Door Car
JU93290;Arizona;1793060.45;F;21708;68;Personal Auto;326.4;Four-Door Car
GU66096;Arizona;545734.26;M;94731;67;Personal Auto;321.6;Four-Door Car
UC33108;Cali;656364.41;M;32375;83;Personal Auto;398.4;Four-Door Car
LW93867;Oregon;481252.52;M;16531;63;Corporate Auto;102.879769;Four-Door Car
OU78470;Arizona;2932804.19;F;32006;94;Corporate Auto;56.868289;Four-Door Car
XW90265;Arizona;577352.07;F;81676;72;Personal Auto;463.158502;Two-Door Car
HS67749;Cali;684711.89;M;71038;86;Corporate Auto;205.444066;Four-Door Car
UI64281;Nevada;2285561.21;F;20832;65;Personal Auto;56.371967;Two-Door Car
AZ74055;Oregon;411557.74;M;52405;103;Personal Auto;494.4;Four-Door Car
AY40674;WA;482141.85;F;26583;1005;Personal Auto;614.4;SUV
NA12740;Oregon;500431.05;M;25486;65;Special Auto;72.438681;Two-Door Car
UA84837;Arizona;863005.39;M;24065;111;Corporate Auto;532.8;Four-Door Car
DJ51510;Arizona;932208.51;F;70435;116;Personal Auto;67.881546;Four-Door Car
OH60605;Oregon;365253.24;F;39679;92;Personal Auto;641.388616;Two-Door Car
LQ13873;Nevada;556945.62;M;53565;71;Personal Auto;340.8;Four-Door Car
LA97014;WA;257651.3;M;37574;66;Personal Auto;412.101933;Two-Door Car
NB79936;WA;834698.32;M;48259;108;Personal Auto;73.700573;Two-Door Car
NT89061;Arizona;632392.39;F;78532;78;Personal Auto;374.4;Four-Door Car
AF10970;Arizona;597314.34;F;96163;73;Corporate Auto;350.4;Four-Door Car
FE84989;WA;503574.46;Male;72672;63;Personal Auto;259.361117;Four-Door Car
JT52858;Oregon;902786.72;F;99002;112;Personal Auto;537.6;Four-Door Car
MC62068;California;728888.48;Male;79494;91;Personal Auto;396.295614;Four-Door Car
EU27538;Oregon;1804247.94;Male;35704;225;Personal Auto;358.281562;Luxury Car
US23612;Oregon;910226.78;F;26049;118;Personal Auto;121.032372;Two-Door Car
WV76014;Arizona;254040.77;Male;70125;64;Special Auto;92.813396;Four-Door Car
RK96223;California;1294189.19;Male;52369;110;Personal Auto;528;SUV
FM46980;Arizona;572076.51;Male;41770;72;Personal Auto;476.156957;Four-Door Car
RF61565;California;263697.77;M;31911;67;Personal Auto;321.6;Four-Door Car
IM94808;Nevada;539583.2;M;70051;68;Corporate Auto;42.078345;Four-Door Car
VI14730;Oregon;838263.01;M;19683;117;Personal Auto;561.6;Sports Car
YR34119;WA;3116174.52;F;30916;112;Personal Auto;200.11606;SUV
QD28391;Washington;742584.53;M;84302;62;Personal Auto;76.609295;Four-Door Car
TM23514;Oregon;1027260.82;M;60145;132;Personal Auto;580.473259;SUV
MQ68407;Oregon;437636.36;F;63774;111;Personal Auto;60.036683;Four-Door Car
GJ59592;California;531889.66;F;25134;67;Corporate Auto;321.6;Four-Door Car
FY56083;Oregon;471976.22;M;37057;61;Personal Auto;47.53101;Four-Door Car
UA94723;Oregon;442803.16;F;58577;110;Personal Auto;303.872752;SUV
FW91032;California;587917.61;M;85857;73;Corporate Auto;100.620067;Four-Door Car
DE34457;Oregon;941690.85;F;70602;116;Personal Auto;481.339891;SUV
HD32044;Oregon;828815.56;F;33816;106;Corporate Auto;508.8;Four-Door Car
AH84063;Oregon;471945.01;F;89642;121;Corporate Auto;86.320022;SUV
QA17596;California;390347.48;F;60068;98;Personal Auto;470.4;Two-Door Car
XI41052;California;545725.97;F;50044;139;Personal Auto;667.2;SUV
DI30528;California;272535.64;F;36650;69;Personal Auto;56.60333;Four-Door Car
SC66359;Arizona;443397.37;F;50653;110;Corporate Auto;262.865172;SUV
EN61670;Arizona;533246.27;F;68931;66;Personal Auto;309.577946;Four-Door Car
JE21522;California;958733.23;M;39266;80;Personal Auto;384;Four-Door Car
EW38459;Nevada;256715.15;F;40864;65;Corporate Auto;9.51528;Four-Door Car
QW87316;Oregon;265062.28;F;39035;68;Personal Auto;244.564334;Four-Door Car
IC43478;California;1126436.33;M;34923;98;Personal Auto;639.105556;Two-Door Car
YM18992;California;283464.62;F;24506;71;Personal Auto;511.2;Two-Door Car
KU56006;Arizona;553638.7;F;52220;70;Personal Auto;336;Four-Door Car
TW43626;California;808288.1;M;53554;67;Personal Auto;327.020539;Four-Door Car
XX84133;California;525473.43;M;34476;67;Corporate Auto;5.3953;Four-Door Car
HO29524;California;303464.7;M;68205;76;Personal Auto;99.382943;Two-Door Car
GE87503;California;1821114.32;M;53690;154;Personal Auto;739.2;SUV
FY32213;California;559538.99;female;74454;71;Personal Auto;340.8;Four-Door Car
GN45013;Oregon;538585.32;M;29664;71;Personal Auto;340.8;Four-Door Car
NM39588;Washington;267805.83;F;72450;66;Corporate Auto;84.218363;Four-Door Car
KU84464;Nevada;942256.79;female;47272;79;Personal Auto;64.546877;Four-Door Car
YH43527;Oregon;360586.03;female;21585;92;Corporate Auto;441.6;Four-Door Car
RO30676;California;776259.06;female;23827;106;Personal Auto;37.910623;Four-Door Car
QL59704;Arizona;2344490.05;female;69906;74;Corporate Auto;202.860399;Four-Door Car
SA54664;Washington;265438.1;M;73196;66;Personal Auto;85.809817;Four-Door Car
CI38330;Washington;254978.61;M;72217;6464;Personal Auto;91.146661;Four-Door Car
WB38524;California;296959.33;M;46131;74;Personal Auto;355.2;Two-Door Car
CE56187;Oregon;436312.46;female;54514;109;Personal Auto;286.234931;SUV
JZ61422;Nevada;527219.16;female;96668;66;Personal Auto;316.8;Four-Door Car
LA13377;California;550989.57;M;78879;69;Personal Auto;466.570791;Four-Door Car
ES57969;Oregon;245357.08;M;29735;69;Personal Auto;331.2;Four-Door Car
JK55587;California;507566.27;M;23082;65;Special Auto;312;Four-Door Car
RN97635;Arizona;321497.94;M;53984;80;Corporate Auto;421.484456;Four-Door Car
BI76326;California;1227534.31;female;52135;156;Personal Auto;430.505942;SUV
JA34909;California;272221.07;female;17576;71;Corporate Auto;398.502948;Four-Door Car
OJ90342;Oregon;245744.09;female;29486;62;Personal Auto;7.646763;Four-Door Car
CM88932;Oregon;355484.53;female;58557;88;Corporate Auto;55.510526;Four-Door Car
JJ97525;California;492954.97;M;25632;63;Personal Auto;351.270869;Two-Door Car
MC83487;Arizona;427691.53;M;18768;68;Corporate Auto;647.454583;Four-Door Car
BL90769;California;3347334.95;female;33190;106;Personal Auto;508.8;SUV
CR57148;Oregon;596058.14;female;47945;74;Personal Auto;128.43823;Two-Door Car
CP85232;Arizona;4479546.94;M;58778;126;Special Auto;302.033971;SUV
YL74732;California;383211.81;female;15192;100;Personal Auto;480;SUV
FG16766;California;683793.26;female;51859;171;Personal Auto;1003.160633;SUV
NV55438;Nevada;528526.82;female;23422;72;Personal Auto;518.4;Two-Door Car
RM10880;California;309651.12;female;21604;79;Corporate Auto;379.2;Four-Door Car
GL56175;Arizona;358971.07;M;79298;90;Personal Auto;244.362072;Four-Door Car
UK52289;Arizona;258240.85;female;76731;64;Special Auto;201.455005;Four-Door Car
OT85112;Washington;340391.94;M;38460;88;Personal Auto;91.55098;Four-Door Car
BC62782;Arizona;1357567.6;F;48534;115;Personal Auto;552;SUV
TI19722;Washington;343613.43;M;30817;88;Corporate Auto;91.834668;Four-Door Car
JP30654;Oregon;2868582.79;F;48412;104;Personal Auto;707.430832;SUV
UM45563;Washington;450267.97;M;68798;114;Personal Auto;92.915251;SUV
EN60878;Oregon;618311.15;M;23712;85;Personal Auto;376.126419;Four-Door Car
JF36291;California;387364.7;M;28142;105;Personal Auto;701.708239;Sports Car
BK59444;California;1892933.06;F;72196;68;Personal Auto;152.184244;Four-Door Car
MK70700;California;555329.58;M;68197;69;Personal Auto;176.819414;Four-Door Car
IW71076;California;501125.92;M;75248;63;Corporate Auto;104.454624;Four-Door Car
HR85211;Washington;512317.09;female;89879;63;Personal Auto;94.030308;Two-Door Car
VC87846;Oregon;748431.05;M;46998;96;Corporate Auto;460.8;Four-Door Car
ZM92052;Oregon;261302.31;M;57099;67;Personal Auto;67.859881;Two-Door Car
ON73702;Arizona;908063.97;F;33897;114;Corporate Auto;539.843003;SUV
QQ90441;Nevada;1377097.62;F;59207;116;Personal Auto;556.8;Four-Door Car
HU35721;Oregon;287682.29;M;40171;73;Personal Auto;350.4;Four-Door Car
YP47665;Washington;540891.15;M;80192;67;Personal Auto;95.193157;Four-Door Car
FU99476;Washington;677030.68;M;74422;85;Personal Auto;95.338505;Four-Door Car
DJ91267;Nevada;2909123.94;F;34226;244;Personal Auto;494.395024;Luxury SUV
KB72438;California;1983420.12;F;65989;123;Personal Auto;115.545086;SUV
TR67616;Oregon;473136.7;M;30686;61;Corporate Auto;19.938981;Four-Door Car
HB67642;Arizona;3461137.9;F;20090;109;Personal Auto;523.2;Sports Car
VV77534;Oregon;1397651.93;M;77094;176;Personal Auto;444.470676;SUV
GL67540;California;590408.82;F;97413;73;Personal Auto;268.819985;Four-Door Car
SV50502;Oregon;559583.5;F;79189;69;Corporate Auto;331.2;Four-Door Car
OA57352;Arizona;627391.19;F;18577;86;Personal Auto;412.8;Four-Door Car
AX86150;Washington;265671.31;M;62777;67;Personal Auto;101.288069;Two-Door Car
EM29359;Nevada;712659.65;Male;17483;183;Personal Auto;1317.6;Luxury Car
SF57173;Oregon;460163.41;Male;84394;114;Personal Auto;691.412378;SUV
SW31412;Oregon;1480805.62;F;41440;62;Personal Auto;297.6;Four-Door Car
RE81445;Oregon;573459.82;F;98132;71;Personal Auto;50.587035;Two-Door Car
LC25393;California;2777628.91;Male;88220;230;Personal Auto;151.528482;Luxury Car
UX38930;Arizona;1036434.75;F;58327;129;Personal Auto;347.075948;SUV
HD95496;Oregon;785190.14;Male;25950;66;Personal Auto;271.697529;Two-Door Car
RX24650;Oregon;477294.38;Male;20993;133;Corporate Auto;638.4;SUV
DW19309;Oregon;1422650.49;Male;65726;177;Corporate Auto;849.6;SUV
MT41386;Washington;287543.24;M;84768;72;Personal Auto;110.484661;Two-Door Car
WZ40465;Washington;504129.96;F;36234;63;Personal Auto;113.534474;Four-Door Car
DB42794;California;436293.12;Male;58842;110;Personal Auto;528;Four-Door Car
JB50798;Oregon;962452.44;F;25629;124;Corporate Auto;595.2;Sports Car
IP69763;Washington;2191440.55;F;77311;181;Personal Auto;113.609508;SUV
HX74855;Washington;247152.84;M;95697;61;Personal Auto;114.273025;Two-Door Car
QN65180;Oregon;2190391.36;F;22254;79;Personal Auto;125.194389;Four-Door Car
GE47180;Nevada;902882.14;Male;65974;113;Personal Auto;235.220971;Sports Car
BH86846;Washington;2070825.88;M;92079;65;Corporate Auto;114.798771;Four-Door Car
MN61620;Arizona;987729.57;F;67752;131;Personal Auto;168.517149;Sports Car
YH86390;California;481500.97;F;25398;64;Corporate Auto;307.2;Four-Door Car
YH61661;California;826063.98;M;33321;105;Special Auto;504;SUV
LN31673;Washington;1131808.98;;38923;99;Personal Auto;115.728852;Four-Door Car
WE68644;Oregon;380392.18;F;20325;100;Personal Auto;668.29397;Sports Car
EZ30498;Oregon;863540.35;M;13129;117;Personal Auto;700.901632;SUV
NM88660;Nevada;358588.41;M;49080;91;Corporate Auto;25.299;Four-Door Car
MZ82036;Nevada;488925.28;M;42536;63;Personal Auto;375.330097;Four-Door Car
ID20929;Oregon;275694.17;M;29926;74;Corporate Auto;418.233667;Four-Door Car
TT82373;California;1093717.85;F;21450;138;Personal Auto;938.513425;Sports Car
OH64088;California;737556.79;M;33345;65;Corporate Auto;338.619869;Four-Door Car
SK97780;California;1011077.82;F;15752;90;Corporate Auto;339.344531;Two-Door Car
IO33050;Oregon;511941.43;F;40169;65;Personal Auto;302.818833;Four-Door Car
XA55917;California;853383.2;F;26049;113;Personal Auto;619.165344;SUV
